"spp.code","bnd","col","ag","sx","site","date.cap.orig","N.96","J.97","M.97","N.97","J.98","M.98","J.99","J.00","J.01","J.02","J.03","nts","date.cap.raw","stat.focals","spp","stat","hab1","diet","sub.site","persist"
"BANA","2_6996","X-","AHY",NA,"Aceitillar",1999-01-18,"","","","","","","C","","","","","","1_18_1999","res","Bananaquit","R","EF","N","B1","NP"
"BANA","2110_55413","X-","AHY",NA,"Aceitillar",2001-02-04,"","","","","","","","","C","","","","2_4_2001","res","Bananaquit","R","EF","N","B1","NP"
"BANA","2110_55407","X-","AHY",NA,"Aceitillar",2001-02-03,"","","","","","","","","C","C","","","2_3_2001","res","Bananaquit","R","EF","N","B1","P"
"BANA","2_6988","X-","AHY",NA,"Aceitillar",1999-01-17,"","","","","","","C","","","","","","1_17_1999","res","Bananaquit","R","EF","N","B1","NP"
"BANA","2110_81096","X-","AHY",NA,"Aceitillar",2001-02-03,"","","","","","","","","C","","","","2_3_2001","res","Bananaquit","R","EF","N","B1","NP"
"BANA","2110_81100","X-","AHY",NA,"Aceitillar",2001-02-03,"","","","","","","","","C","","","","2_3_2001","res","Bananaquit","R","EF","N","B1","NP"
"BANA","2110_81094","X-","AHY",NA,"Aceitillar",2001-02-03,"","","","","","","","","C","","","","2_3_2001","res","Bananaquit","R","EF","N","B1","NP"
"BANA","2110_55403","X-","AHY",NA,"Aceitillar",2001-02-03,"","","","","","","","","C","","","","2_3_2001","res","Bananaquit","R","EF","N","B1","NP"
"BANA","2110_55411","X-","AHY",NA,"Aceitillar",2001-02-04,"","","","","","","","","C","C","","","2_4_2001","res","Bananaquit","R","EF","N","B1","P"
"BANA","2_6897","X-","AHY",NA,"Aceitillar",2000-01-24,"","","","","","","","C","","","","","1_24_2000","res","Bananaquit","R","EF","N","B2","NP"
"BANA","607","X-","AHY",NA,"Aceitillar",2000-01-24,"","","","","","","","C","","","","","1_24_2000","res","Bananaquit","R","EF","N","B2","NP"
"BANA","26981","X-","AHY",NA,"Aceitillar",1999-01-17,"","","","","","","C","","","","","","1_17_1999","res","Bananaquit","R","EF","N","B1","NP"
"BANA","2_7000","X-","AHY",NA,"Aceitillar",1999-01-18,"","","","","","","C","","","","","","1_18_1999","res","Bananaquit","R","EF","N","B1","NP"
"BANA","26985","X-","HY",NA,"Aceitillar",1999-01-17,"","","","","","","C","","","","","","1_17_1999","res","Bananaquit","R","EF","N","B1","NP"
"BANA","26986","X-","HY",NA,"Aceitillar",1999-01-17,"","","","","","","C","","","","","","1_17_1999","res","Bananaquit","R","EF","N","B1","NP"
"BANA","2_6987","X-","AHY",NA,"Aceitillar",1999-01-17,"","","","","","","C","","","","","","1_17_1999","res","Bananaquit","R","EF","N","B1","NP"
"BANA","2_6877","X-","AHY",NA,"Aceitillar",1999-01-30,"","","","","","","C","","","","","","1_30_1999","res","Bananaquit","R","EF","N","B2","NP"
"BANA","2_6998","X-","HY",NA,"Aceitillar",1999-01-18,"","","","","","","C","","","","","","1_18_1999","res","Bananaquit","R","EF","N","B1","NP"
"BANA","2_6993","X-","HY",NA,"Aceitillar",1999-01-18,"","","","","","","C","","","","","","1_18_1999","res","Bananaquit","R","EF","N","B1","NP"
"BANA","2_6876","X-","AHY",NA,"Aceitillar",1999-01-30,"","","","","","","C","","","","","","1_30_1999","res","Bananaquit","R","EF","N","B2","NP"
"BANA","2110_55409","X-","AHY",NA,"Aceitillar",2001-02-04,"","","","","","","","","C","","","","2_4_2001","res","Bananaquit","R","EF","N","B1","NP"
"BANA","2110_55410","X-","AHY",NA,"Aceitillar",2001-02-04,"","","","","","","","","C","","","","2_4_2001","res","Bananaquit","R","EF","N","B1","NP"
"BANA","2_5495","X-","HY",NA,"Aceitillar",1999-01-18,"","","","","","","C","","","","","","1_18_1999","res","Bananaquit","R","EF","N","B1","NP"
"BAWW","1760_22679","RG-XY","HY","F","Aceitillar",1998-01-22,"","","","","C","","","","","","","W","1_22_1998","mig","Black-and-white Warbler","M","EF","I","B1","NP"
"BAWW","1950_82040","XR-PP","HY","M","Aceitillar",1996-11-20,"C","","","","","","","","","","","W","11_20_1996","mig","Black-and-white Warbler","M","EF","I","B1","NP"
"BAWW","1760_22659","RX-RG","AHY","F","Aceitillar",1998-01-16,"","","","","CS","S","","","","","","","1_16_1998","mig","Black-and-white Warbler","M","EF","I","B2","P"
"BAWW","2140_20710","X-","HY","M","Aceitillar",2000-01-26,"","","","","","","","C","","","","W","1_26_2000","mig","Black-and-white Warbler","M","EF","I","B1","NP"
