"spp.code","site","band.pre","band.suf","colors","age","sex","date","wing","tarsus","mass","fat","pec","notes","year","year.num","beak","date2","site.age.init","site.age","band","status.focals","spp","status2","hab1","diet"
"AMRE","La Cueva","2240","21571","WW-XR","HY","F","9-Nov-04",63.5,16,7.3,"0",1,NA,"2004-2005",2004,NA,2004-11-09,2,3,"2240-21571","mig","American Redstart","M","EF","I"
"AMRE","La Caoba","2240","21901","WR-XR","AHY","F","15-Jan-06",NA,NA,NA,NA,NA,"x","2005-2006",2005,NA,2006-01-15,5,7,"2240-21901","mig","American Redstart","M","EF","I"
"AMRE","Morelia","2240","21892","YY-XW","HY",NA,"19-Nov-05",NA,NA,NA,NA,NA,"x","2005-2006",2005,NA,2005-11-19,10,12,"2240-21892","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21948","XY-RB","HY",NA,"9-Jan-07",NA,NA,NA,NA,NA,"x","2006-2007",2006,NA,2007-01-09,2,5,"2240-21948","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21870","RY-XY","HY","F","10-Nov-05",NA,NA,NA,NA,NA,"x","2005-2006",2005,NA,2005-11-10,2,4,"2240-21870","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21850","XW-WB","AHY","F","7-Feb-05",59.5,16.7,6.3,"0",0,NA,"2004-2005",2004,NA,2005-02-07,2,3,"2240-21850","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21923","YW-XW","HY","F","12-Jan-07",NA,NA,NA,NA,NA,"x","2006-2007",2006,NA,2007-01-12,2,5,"2240-21923","mig","American Redstart","M","EF","I"
"AMRE","El Corral","2240","21821","XW-BY","AHY","M","24-Nov-04",61.5,15.5,8,"0",1,NA,"2004-2005",2004,NA,2004-11-24,20,21,"2240-21821","mig","American Redstart","M","EF","I"
"AMRE","La Caoba","2240","21930","BX-BR","AHY","F","24-Nov-06",NA,NA,NA,NA,NA,"x","2006-2007",2006,NA,2006-11-24,5,8,"2240-21930","mig","American Redstart","M","EF","I"
"AMRE","Morelia","2240","21532","WX-BR","HY","F","24-Feb-04",60,16.4,6.6,"0",0,NA,"2003-2004",2003,NA,2004-02-24,10,10,"2240-21532","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21545","XB-BR","HY","F","5-Jan-04",58,17,7.3,"0",0,NA,"2003-2004",2003,NA,2004-01-05,2,2,"2240-21545","mig","American Redstart","M","EF","I"
"AMRE","La Caoba","2240","21987","X-","AHY","F","14-Nov-07",NA,NA,NA,NA,NA,NA,"2007-2008",2007,NA,2007-11-14,5,9,"2240-21987","mig","American Redstart","M","EF","I"
"AMRE","La Caoba","2240","21513","BY-XW","AHY","F","6-Jan-04",60,17.4,7,"0",1,NA,"2003-2004",2003,NA,2004-01-06,5,5,"2240-21513","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21589","RX-BY","HY","F","12-Nov-04",60,16.6,6.9,"1",1,NA,"2004-2005",2004,NA,2004-11-12,2,3,"2240-21589","mig","American Redstart","M","EF","I"
"AMRE","La Caoba","2240","21938","XY-YB","HY",NA,"26-Nov-06",NA,NA,NA,NA,NA,"x","2006-2007",2006,NA,2006-11-26,5,8,"2240-21938","mig","American Redstart","M","EF","I"
"AMRE","La Cueva","2240","21578","YX-YB","HY","F","10-Nov-04",56.5,15.9,6.1,"0",0,NA,"2004-2005",2004,NA,2004-11-10,2,3,"2240-21578","mig","American Redstart","M","EF","I"
