"spp.code","band","colors","age","sex","site","date.cap.orig","nov.96","jan.97","mar.97","nov.97","jan.98","mar.98","jan.99","jan.00","jan.01","jan.02","jan.03","comments","data.cap.orig2","status.focals","spp","status2","hab1","diet","sub.site"
"BANA","610","X-","HY",NA,"Aceitillar","24-Jan-96","","","","","","","","C","","","","",1996-01-24,"res","Bananaquit","R","EF","N","B1"
"BANA","612","X-","AHY",NA,"Aceitillar","24-Jan-96","","","","","","","","C","","","","",1996-01-24,"res","Bananaquit","R","EF","N","B1"
"BANA","Feb-64","X-","AHY",NA,"Aceitillar","27-Jan-95","","","","","","","C","","","","","",1995-01-27,"res","Bananaquit","R","EF","N","B2"
"BANA","Feb-63","X-","AHY",NA,"Aceitillar","27-Jan-95","","","","","","","C","","","","","",1995-01-27,"res","Bananaquit","R","EF","N","B2"
"BANA","Feb-59","X-","AHY",NA,"Aceitillar","27-Jan-95","","","","","","","C","","C","","","",1995-01-27,"res","Bananaquit","R","EF","N","B2"
"BANA","Feb-75","X-","AHY",NA,"Aceitillar","28-Jan-95","","","","","","","C","","","","","",1995-01-28,"res","Bananaquit","R","EF","N","B2"
"BANA","606","X-","AHY",NA,"Aceitillar","23-Jan-96","","","","","","","","C","","","","",1996-01-23,"res","Bananaquit","R","EF","N","B2"
"BANA","Feb-91","X-","AHY",NA,"Aceitillar","17-Jan-95","","","","","","","C","","","","","",1995-01-17,"res","Bananaquit","R","EF","N","B1"
"BANA","Feb-67","X-","HY",NA,"Aceitillar","28-Jan-95","","","","","","","C","","","","","",1995-01-28,"res","Bananaquit","R","EF","N","B2"
"BANA","Feb-92","X-","HY",NA,"Aceitillar","17-Jan-95","","","","","","","C","","","","","",1995-01-17,"res","Bananaquit","R","EF","N","B1"
"BANA","2110-81083","X-","AHY",NA,"Aceitillar","31-Jan-97","","","","","","","","","C","","","",1997-01-31,"res","Bananaquit","R","EF","N","B2"
"BANA","Feb-95","X-","AHY",NA,"Aceitillar","17-Jan-95","","","","","","","C","","","","","",1995-01-17,"res","Bananaquit","R","EF","N","B1"
"BANA","2110-81082","X-","AHY",NA,"Aceitillar","31-Jan-97","","","","","","","","","C","","","",1997-01-31,"res","Bananaquit","R","EF","N","B2"
"BANA","614","X-","AHY",NA,"Aceitillar","24-Jan-96","","","","","","","","C","","C","","",1996-01-24,"res","Bananaquit","R","EF","N","B1"
"BANA","2110-81077","X-","HY",NA,"Aceitillar","30-Jan-97","","","","","","","","","C","","","",1997-01-30,"res","Bananaquit","R","EF","N","B2"
"BANA","2110-81089","X-","AHY",NA,"Aceitillar","1-Feb-97","","","","","","","","","C","","","",1997-02-01,"res","Bananaquit","R","EF","N","B1"
"BANA","Feb-91","X-","HY",NA,"Aceitillar","17-Jan-95","","","","","","","C","","","","","",1995-01-17,"res","Bananaquit","R","EF","N","B1"
"BANA","602","X-","AHY",NA,"Aceitillar","23-Jan-96","","","","","","","","C","","","","",1996-01-23,"res","Bananaquit","R","EF","N","B2"
"BANA","Feb-74","X-","AHY",NA,"Aceitillar","28-Jan-95","","","","","","","C","","","","","",1995-01-28,"res","Bananaquit","R","EF","N","B2"
"BANA","Feb-89","X-","AHY",NA,"Aceitillar","17-Jan-95","","","","","","","C","","","","","",1995-01-17,"res","Bananaquit","R","EF","N","B1"
"BANA","Feb-90","X-","AHY",NA,"Aceitillar","17-Jan-95","","","","","","","C","","","","","",1995-01-17,"res","Bananaquit","R","EF","N","B1"
"BANA","Feb-92","X-","AHY",NA,"Aceitillar","17-Jan-95","","","","","","","C","","","","","",1995-01-17,"res","Bananaquit","R","EF","N","B1"
"BANA","Feb-94","X-","AHY",NA,"Aceitillar","17-Jan-95","","","","","","","C","","","","","",1995-01-17,"res","Bananaquit","R","EF","N","B1"
"BANA","615","X-","AHY",NA,"Aceitillar","24-Jan-96","","","","","","","","C","","","","",1996-01-24,"res","Bananaquit","R","EF","N","B1"
"BANA","630","X-","AHY",NA,"Aceitillar","26-Jan-96","","","","","","","","C","","","","",1996-01-26,"res","Bananaquit","R","EF","N","B1"
"BANA","2110-55406","X-","AHY",NA,"Aceitillar","2-Feb-97","","","","","","","","","C","","","",1997-02-02,"res","Bananaquit","R","EF","N","B1"
"BANA","2110-81093","X-","AHY",NA,"Aceitillar","2-Feb-97","","","","","","","","","C","","","",1997-02-02,"res","Bananaquit","R","EF","N","B1"
"BANA","Feb-99","X-","AHY",NA,"Aceitillar","17-Jan-95","","","","","","","C","","","","","",1995-01-17,"res","Bananaquit","R","EF","N","B1"
"BANA","617","X-","AHY",NA,"Aceitillar","25-Jan-96","","","","","","","","C","","","","",1996-01-25,"res","Bananaquit","R","EF","N","B1"
"BANA","2110-81090","X-","AHY",NA,"Aceitillar","1-Feb-97","","","","","","","","","C","","","",1997-02-01,"res","Bananaquit","R","EF","N","B1"
"BANA","2110-81091","x-","AHY",NA,"Aceitillar","1-Feb-97","","","","","","","","","C","","","",1997-02-01,"res","Bananaquit","R","EF","N","B1"
"BANA","604","X-","AHY",NA,"Aceitillar","23-Jan-96","","","","","","","","C","","","","",1996-01-23,"res","Bananaquit","R","EF","N","B2"
"BANA","Feb-65","X-","AHY",NA,"Aceitillar","27-Jan-95","","","","","","","C","","C","","","",1995-01-27,"res","Bananaquit","R","EF","N","B2"
"BANA","Feb-61","X-","HY",NA,"Aceitillar","27-Jan-95","","","","","","","C","","","","","",1995-01-27,"res","Bananaquit","R","EF","N","B2"
"BANA","609","X-","AHY",NA,"Aceitillar","24-Jan-96","","","","","","","","C","","","","",1996-01-24,"res","Bananaquit","R","EF","N","B1"
"BANA","611","X-","AHY",NA,"Aceitillar","24-Jan-96","","","","","","","","C","","","","",1996-01-24,"res","Bananaquit","R","EF","N","B1"
"BANA","2110-55414","X-","AHY",NA,"Aceitillar","3-Feb-97","","","","","","","","","C","","","",1997-02-03,"res","Bananaquit","R","EF","N","B1"
"BANA","613","X-","AHY",NA,"Aceitillar","24-Jan-96","","","","","","","","C","","","","",1996-01-24,"res","Bananaquit","R","EF","N","B1"
"BANA","26980","X-","AHY",NA,"Aceitillar","16-Jan-95","","","","","","","C","","","","","",1995-01-16,"res","Bananaquit","R","EF","N","B1"
"BANA","Feb-97","X-","AHY",NA,"Aceitillar","17-Jan-95","","","","","","","C","","","","","",1995-01-17,"res","Bananaquit","R","EF","N","B1"
"BANA","2110-81087","X-","AHY",NA,"Aceitillar","1-Feb-97","","","","","","","","","C","","","",1997-02-01,"res","Bananaquit","R","EF","N","B1"
"BANA","Feb-97","X-","AHY",NA,"Aceitillar","18-Jan-95","","","","","","","C","","","","","",1995-01-18,"res","Bananaquit","R","EF","N","B1"
"BANA","618","X-","AHY",NA,"Aceitillar","25-Jan-96","","","","","","","","C","","","","",1996-01-25,"res","Bananaquit","R","EF","N","B1"
"BANA","619","X-","AHY",NA,"Aceitillar","25-Jan-96","","","","","","","","C","","","","",1996-01-25,"res","Bananaquit","R","EF","N","B1"
"BANA","2110-81084","X-","AHY",NA,"Aceitillar","1-Feb-97","","","","","","","","","C","","","",1997-02-01,"res","Bananaquit","R","EF","N","B2"
"BANA","623","X-","AHY",NA,"Aceitillar","25-Jan-96","","","","","","","","C","","","","",1996-01-25,"res","Bananaquit","R","EF","N","B1"
"BANA","624","X-","AHY",NA,"Aceitillar","25-Jan-96","","","","","","","","C","","","","",1996-01-25,"res","Bananaquit","R","EF","N","B1"
"BANA","622","X-","HY",NA,"Aceitillar","25-Jan-96","","","","","","","","C","","","","",1996-01-25,"res","Bananaquit","R","EF","N","B1"
"BANA","Feb-78","X-","HY",NA,"Aceitillar","29-Jan-95","","","","","","","C","","","","","",1995-01-29,"res","Bananaquit","R","EF","N","B2"
