# Aceitillar data for Mencia pasture succesion manuscript,,,,,,,,,,,,,,,,,,
"# Original file ""Aceitillar 96_02 for Mencia.xls"" from SL via email",,,,,,,,,,,,,,,,,,
"# Original file had 3 worksheets: ""Returned migr"", ""Site persistent migr"" and ""All caps""",,,,,,,,,,,,,,,,,,
#,"Note: original worksheets with ""_migr"" included residents and migrants",,,,,,,,,,,,,,,,,
"# ""Site persistent birds are there for some portion of at least 1 winter – so they were resighted or recaptured at least once.""",,,,,,,,,,,,,,,,,,
"# ""Returned birds are a **subset** of the **site persistent birds** that returned a **subsequent** year.",,,,,,,,,,,,,,,,,,
# All caps is all captures.,,,,,,,,,,,,,,,,,,
"# C = captured (including orig capture); S = re_sighted, CS = captured & resighted in same session; W in comments = NEVER resighted/recaptured after original capture",,,,,,,,,,,,,,,,,,
# W = wanderers,,,,,,,,,,,,,,,,,,
#,,,,,,,Nov,Jan,Mar,Nov,Jan,Mar,Jan,Jan,Jan,Jan,Jan,
#,,,,,,CAP,96,97,97,97,98,98,99,0,1,2,3,
BAND,COLORS,SPECIES,AGE,SEX,SITE,DATA.CAP.ORIG,Nov.96,Jan.97,Mar.97,Nov.97,Jan.98,Mar.98,Jan.99,Jan.00,Jan.01,Jan.02,Jan.03,COMMENTS
4_3063,XB-BB,BCPT,AHY,,B1,1_26_1997,,C,S,C,S,S,S,,,,,
4_4753,BX-YB,BCPT,AHY,,B2,3_6_1997,,,C,,,,,,,,,
4_4755,XY-PB,BCPT,AHY,,B2,3_7_1997,,,C,,,C,,,,,,
4_4756,YB-XP,BCPT,AHY,,B2,3_7_1997,,,C,,,,,,,,,
4_4757,XY-RR,BCPT,AHY,,B1,3_10_1997,,,C,,,,,,,,,
4_4758,BR-XP,BCPT,AHY,,B1,3_11_1997,,,C,,,,,,,,,
4_4759,PY-YX,BCPT,AHY,,B1,3_11_1997,,,CC,CS,,,,,,,,
4_4926,YG-XG,BCPT,AHY,,B2,11_10_1997,,,,C,,C,,,,,,
4_4927,XG-RA,BCPT,AHY,,B2,11_10_1997,,,,C,,,,,,,,
4_4929,AG-RX,BCPT,AHY,,B2,11_10_1997,,,,C,,,,,,,,
4_4932,YX-YR,BCPT,AHY,,B1,11_11_1997,,,,C,,,,,C,,,was AX-GR
4_4931,YA-GX,BCPT,AHY,,B2,11_11_1997,,,,C,,,,,,,,
4_4933,XY-AR,BCPT,AHY,,B1,11_12_1997,,,,C,,,,,,,,
4_4935,YA-XG,BCPT,AHY,,B1,11_12_1997,,,,CS,,,,,,,,
4_4936,GR-RX,BCPT,AHY,,B1,11_12_1997,,,,C,,C,,,,,,
4_4969,YA-XA,BCPT,AHY,,B1,1_21_1998,,,,,C,,,,,,,
4_4513,AX-GA,BCPT,AHY,,B1,3_3_1998,,,,,,C,S,,,,,
4_4515,YX-GR,BCPT,AHY,,B1,3_4_1998,,,,,,C,,,,,,
4_4516,GR-YX,BCPT,AHY,,B1,3_4_1998,,,,,,C,,,,,,
4_4517,YX-AG,BCPT,AHY,,B2,3_8_1998,,,,,,C,,,,,,
4_4518,YG-RX,BCPT,AHY,,B2,3_8_1998,,,,,,C,,,,,,
4_4520,RG-XY,BCPT,AHY,,B2,3_9_1998,,,,,,C,,,,,,
4_4521,RG-XR,BCPT,AHY,,B2,3_10_1998,,,,,,C,,,,,,
4_4522,X-,BCPT,AHY,,B2,3_10_1998,,,,,,C,,,,,,
4_4541,GX-GW,BCPT,AHY,,B1,1_18_1999,,,,,,,C,,,,,
4_4577,RX-WW,BCPT,AHY,,B2,1_30_1999,,,,,,,C,,,,,
4_4587,RA-XB,BCPT,AHY,,B2,1_24_2000,,,,,,,,C,,,,
4_4594,BR-RX,BCPT,AHY,,B1,1_26_2000,,,,,,,,C,,,,
4_4596,RY-BX,BCPT,AHY,,B1,1_26_2000,,,,,,,,C,,,,
4_4847,RR-XY,BCPT,AHY,,B2,2_1_2001,,,,,,,,,C,,,
4_4850,PY-XB,BCPT,AHY,,B2,2_1_2001,,,,,,,,,C,,,
4_4851,YP-XB,BCPT,AHY,,B2,2_1_2001,,,,,,,,,C,,,
4_4852,XR-BB,BCPT,AHY,,B2,2_1_2001,,,,,,,,,C,C,,
4_4839,YR-YX,BCPT,AHY,,B1,2_2_2001,,,,,,,,,C,C,,
4_4843,PX-RR,BCPT,AHY,,B2,2_2_2001,,,,,,,,,C,,,
4_4844,PX-RP,BCPT,AHY,,B2,2_2_2001,,,,,,,,,C,,,
4_4846,YX-YP,BCPT,AHY,,B2,2_2_2001,,,,,,,,,C,C,,
4_4828,BB-XY,BCPT,AHY,,B1,2_3_2001,,,,,,,,,C,,,
4_4830,YY-XX,BCPT,AHY,,B1,2_3_2001,,,,,,,,,C,,,
4_4831,PX-YY,BCPT,AHY,,B1,2_3_2001,,,,,,,,,C,,,
4_4832,YX-PY,BCPT,AHY,,B1,2_3_2001,,,,,,,,,C,,,
4_4833,YX-YR,BCPT,AHY,,B1,2_3_2001,,,,,,,,,C,,,
4_3915,PY-XP,BCPT,HY,,B2,11_14_1996,C,,,,,,,,,,,
4_3924,Y-X,BCPT,HY,,B1,11_20_1996,C,,,,,,,,,,,
4_3925,X-B,BCPT,HY,,B1,11_20_1996,C,,,,,,S,,,,,
4_3927,X-Y,BCPT,HY,,B1,11_20_1996,CC,,,,,,,,,,,
